Time	MU_1	MU_2	MU_3	MU_4	MU_5	MU_6	MU_7	MU_8	MU_9	MU_10	MU_11	MU_12	MU_13	MU_14	MU_15	MU_16	MU_17	MU_18	MU_19	MU_20	MU_21	MU_22	MU_23	MU_24	MU_25	MU_26
0	0.0545420156260851	-1.70489849856977e-05	-1.35384869082731e-05	4.71414400062104e-16	-5.0953256410449e-16	-1.27573557651555e-16	-5.415884198585e-16	-8.10973779580291e-16	-1.25970871814206e-15	-1.88662420367935e-05	-9.80386991817746e-16	-1.42805060864507e-15	-6.4919534101864e-16	-2.22340130139812e-16	2.75308658300626e-16	-2.96860545370155e-16	-7.31236527100493e-16	-6.38979621741154e-16	-1.02072496380409e-15	2.45638015030346e-16	-2.08396723456666e-17	-2.37017884800325e-16	5.20127624671152e-17	-2.30559629268787e-16	7.30407755060133e-17	-1.64207691655835e-16
0.01	0.136606724711196	-3.14654458403493e-05	-3.17119144520054e-05	5.04907402156295e-16	-1.63883291915839e-15	-1.61602793551497e-16	-1.52342901984894e-15	-1.61101370514331e-15	-1.89418421872696e-15	-3.04269182533618e-05	-3.41531938079712e-15	-3.53800440467414e-15	-8.55289871887501e-16	2.6711866467416e-16	-8.1534205497355e-16	-1.00456126710631e-15	-1.83880275440308e-15	-2.02302450238384e-15	-1.53413269131257e-15	3.75753452940339e-16	-1.86447591234384e-17	-5.71050950996847e-16	2.58258576589565e-17	-8.30345042660849e-16	-1.47548747129424e-16	-5.86942095165308e-16
0.02	0.156572938323015	-3.04236555119866e-05	-2.39333965553157e-05	3.31713562081662e-16	-1.68440213798869e-15	-2.69304343889773e-16	-1.49688501467963e-15	-1.11933247797974e-15	-1.51790487268301e-15	-3.41301799190038e-05	-1.74875472190357e-15	-1.46994412153325e-15	-6.40479767064934e-16	-3.11992740466946e-16	-1.22528858892817e-16	-4.69745633899846e-16	-1.37520837108817e-15	-2.11867632363048e-15	-1.18541574883988e-15	6.01406050861129e-16	1.98824902210081e-16	1.90891473620619e-16	2.18030058943003e-16	-6.01267601987278e-16	1.69872583940507e-17	-5.19555075716317e-16
0.03	0.199201316980978	-5.49020960519766e-05	-5.91770143850067e-05	2.04997604905697e-15	-4.53195789718125e-16	-2.3020014422942e-16	-1.24403142679505e-15	-9.04373715240488e-16	-2.59530472213488e-15	-5.09942253882817e-05	-1.97930585910906e-15	-2.78215930860637e-15	-8.67771252744919e-16	-3.87914594619387e-16	4.77941035210137e-16	-7.22026382102927e-17	-7.94545409037929e-16	-1.4511857099239e-15	-4.90949109962422e-16	5.50987419430787e-16	1.66117772964546e-16	-2.32464848498331e-16	-2.50880853380587e-17	-2.43021287598959e-16	9.45460002282823e-17	-3.90506861794757e-16
0.04	0.233979726229727	-5.01143768874924e-05	-2.93752326009588e-05	-6.31402427602526e-08	-9.07934458467303e-16	6.04032200062536e-16	-3.58863878312834e-16	-6.40912323626446e-16	-1.36073885260242e-15	-6.18806824541162e-05	-2.53426115072816e-15	-2.28425557487577e-15	1.90491071902918e-16	-2.92697916920453e-16	-4.33500637809529e-16	-4.81902516463952e-16	-2.01958451067393e-15	-1.78043686497958e-15	-4.75885703565747e-16	7.19801578743569e-16	8.60493176612351e-17	1.06893248526106e-17	9.46469983571275e-17	-5.62545456379977e-16	-1.39646538162865e-16	-4.18459175377156e-16
0.05	0.278680199276035	4.19590360510802e-05	-9.43972710192692e-05	-2.62076952043963e-06	1.49342544380342e-16	-5.94501332147288e-16	-3.85049095559411e-16	-7.07146312653826e-16	-1.04323730071667e-15	0.0001272570571435	-2.10011599903235e-15	-2.19589282926283e-15	-7.30158946952601e-16	-3.04431471511441e-16	-1.09637011075357e-15	-3.60415633238312e-16	-1.23303275327186e-15	-2.04270074720783e-15	-7.12491384115365e-17	7.42794351584141e-16	6.75131369223953e-17	-1.19710149643132e-16	1.45148003015535e-16	-3.59526909698434e-16	1.54054884665469e-16	-5.29657323445403e-16
0.06	0.323773538347286	0.00266333319416413	0.0015563341283929	-4.36045850354014e-06	-4.39754458658927e-16	-1.08799789195597e-15	-9.44763385785669e-16	-1.9330969875687e-15	-2.16027542673954e-15	0.0031011486245504	-2.09471740376662e-15	-1.75943329243222e-15	-6.1471119332497e-16	-4.58016997969235e-16	-3.11437358910104e-16	-5.82615452656585e-16	-2.01021024493799e-15	-1.31740245485986e-15	-4.89289990115083e-16	4.70252127724926e-16	1.46928876192012e-16	-6.46067299041793e-16	3.60803656044745e-16	-3.80147960401358e-16	-2.98143257938958e-17	-3.8087725012242e-16
0.07	0.378330753287816	0.00933402186696763	0.00715447007555158	-1.09351477216551e-05	-1.194459751939e-15	-1.17734600461851e-15	-6.32375765487528e-16	-1.52643730031787e-15	-2.3240621899622e-15	0.0101192758972081	-1.85882270722932e-15	-2.23876188603429e-15	-1.96657713584934e-16	2.0972395653139e-16	-8.19566421734113e-16	-1.50034150254121e-15	-1.90722498984562e-15	-2.30868171551141e-15	-1.18823617042648e-15	1.86816221380383e-16	-1.10540454207997e-16	-2.90217423368325e-16	-9.19707300413246e-17	-6.19864336010956e-16	5.51064221238796e-17	-2.67646144421596e-16
0.08	0.437562655475321	0.0198515033465551	0.016622856842483	-1.33012708480207e-05	-2.48877361812809e-16	-3.08358852127735e-16	-1.49528149278574e-16	-1.12757733405548e-15	-1.40761510478526e-15	0.0209876578738382	-1.91471675529011e-15	-2.35299189669131e-15	4.05717669677554e-16	1.2923943936131e-15	-2.76427751809119e-16	-8.21025243567438e-16	-1.7970885824738e-15	-1.89366602377032e-15	-6.26396383226443e-16	8.92205759596578e-16	3.97604192748036e-16	-4.31779153178455e-16	2.35567854672852e-16	-1.77854756640986e-16	-4.44388131663678e-17	-5.19258733388286e-16
0.09	0.503932757609053	0.0342774017495641	0.0300057025539493	-2.52514369319413e-05	-1.60177077759346e-16	-2.56565688711646e-07	-1.37421193422056e-16	-7.84250482317901e-07	-6.69834793130974e-07	0.0357538017529989	-1.68168989095043e-15	-3.19044851377226e-07	1.52577392079323e-18	3.71543845635779e-16	-4.86397385179002e-16	-6.416020553871e-16	-1.36408977927103e-15	-1.59943261342436e-15	-3.90220255568966e-16	8.48255358486706e-16	2.13482645239528e-16	-4.5768376391133e-16	2.03813662403157e-16	8.01377685065956e-17	5.28860002748942e-17	-3.87242672054894e-16
0.1	0.575710416999993	0.0524897972206864	0.0471973875922679	-2.60120526076276e-05	-8.87056760967385e-16	-3.50412709252211e-06	-5.03231559608736e-16	-4.17786227849438e-06	-4.10143768963966e-06	0.0543057845827802	-2.12210439569466e-15	-3.65010175676762e-06	2.54693321973355e-17	3.74279049388587e-16	-7.12151048777128e-16	-6.67658443420352e-16	-9.46804602221433e-16	-1.65989263406796e-15	-4.1745255313753e-16	7.42090687788305e-16	-2.51882433116051e-17	-4.42067445531012e-16	1.01284803773183e-16	-4.65676413399981e-16	9.76194525344717e-17	-3.77926074914868e-16
0.11	0.653312600765748	0.0744592908393137	0.068160286125057	-4.73817099105141e-05	-9.11783074552271e-16	-4.64610219199066e-06	-1.30848618559226e-09	-5.90351406058209e-06	-5.60867059198012e-06	0.076602567616333	-1.03046284480734e-07	-4.77443374756868e-06	-2.95086132986969e-16	-4.68972440938605e-16	-2.70087620404457e-16	-1.75270598620236e-16	-1.5127449490916e-15	-1.62501898087784e-15	-8.8290687726125e-16	7.35263359054846e-16	3.42236383850143e-16	-3.33456512324772e-16	-9.74957345517983e-17	-1.8029220483803e-16	-2.1777693230686e-16	-3.29721824135141e-16
0.12	0.736112435101314	0.1000711124192	0.0928001389323211	-3.61888261786394e-05	-6.20246412560214e-16	-1.32431883166384e-05	-1.29231375416567e-06	-1.46445633552543e-05	-1.45374419837577e-05	0.102539497488813	-2.90420678394133e-06	-1.35963229281048e-05	-2.76902074866121e-08	-5.97448326219973e-10	-1.75949552768506e-16	-8.18136671702386e-16	-2.39215608283848e-15	-1.7421459984397e-15	-1.07933314241776e-15	-2.76902059372022e-08	2.83514198760078e-17	-4.79675815178801e-16	7.85869920834729e-17	-4.04431912506691e-17	2.92891357108187e-21	-4.46167981050896e-16
0.13	0.825426495504782	0.129243216069599	0.121014346668154	-0.00010069125162898	-3.32823980427581e-12	-1.29367069851689e-05	-4.33237110033699e-06	-1.48186345725497e-05	-1.42857740653884e-05	0.132017576747896	-4.38848585164993e-06	-1.30421721014498e-05	-2.20331336019659e-06	-1.1733368347133e-06	-1.40954894454821e-15	-5.54931034684257e-07	-1.93794560610279e-15	-2.31213766312975e-15	-3.82264436824026e-07	-2.20331335839895e-06	3.10568458429279e-16	-3.11273127578103e-07	-9.8903330730214e-17	-4.13894835666458e-16	-1.92788561092068e-16	-4.61348842404373e-16
